,Title,PMID,Authors,Citation,First_Author,Journal/Book,Publication_Year/Date,PMCID,DOI,Keywords,N_Citations,Authors/Affiliations
0,P-selectin-targeted nanocarriers induce active crossing of the blood-brain barrier via caveolin-1-dependent transcytosis,36864161,"Tylawsky DE, Kiguchi H, Vaynshteyn J, Gerwin J, Shah J, Islam T, Boyer JA, Boué DR, Snuderl M, Greenblatt MB, Shamay Y, Raju GP, Heller DA",Nat Mater. 2023 Mar;22(3):391-399. doi: 10.1038/s41563-023-01481-9,Tylawsky DE,Nat Mater,2023,PMC9981459,10.1038/s41563-023-01481-9,"Medulloblastoma is the most common malignant paediatric brain tumour, with ~30% mediated by Sonic hedgehog signalling Vismodegib-mediated inhibition of the Sonic hedgehog effector Smoothened inhibits tumour growth but causes growth plate fusion at effective doses Here, we report a nanotherapeutic approach targeting endothelial tumour vasculature to enhance blood-brain barrier crossing We use fucoidan-based nanocarriers targeting endothelial P-selectin to induce caveolin-1-dependent transcytosis and thus nanocarrier transport into the brain tumour microenvironment in a selective and active manner, the efficiency of which is increased by radiation treatment In a Sonic hedgehog medulloblastoma animal model, fucoidan-based nanoparticles encapsulating vismodegib exhibit a striking efficacy and marked reduced bone toxicity and drug exposure to healthy brain tissue Overall, these findings demonstrate a potent strategy for targeted intracranial pharmacodelivery that overcomes the restrictive blood-brain barrier to achieve enhanced tumour-selective penetration and has therapeutic implications for diseases within the central nervous system",4,"{'Daniel E Tylawsky': ['Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'Department of Pharmacology, Weill Cornell Graduate School of Medical Sciences, New York, NY, USA.'], 'Hiroto Kiguchi': ['Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'Department of Pediatrics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.'], 'Jake Vaynshteyn': ['Departments of Neurology and Pediatrics, Icahn School of Medicine at Mount Sinai, New York, NY, USA.'], 'Jeffrey Gerwin': ['Departments of Neurology and Pediatrics, Icahn School of Medicine at Mount Sinai, New York, NY, USA.'], 'Janki Shah': ['Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA.'], 'Taseen Islam': ['Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA.'], 'Jacob A Boyer': ['Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA.'], 'Daniel R Boué': [""Departments of Pathology & Laboratory Medicine, Nationwide Children's Hospital and The Ohio State University, Columbus, OH, USA.""], 'Matija Snuderl': ['Division of Neuropathology, Department of Pathology, NYU Langone Medical Center, New York, NY, USA.'], 'Matthew B Greenblatt': ['Department of Pathology and Laboratory Medicine, Weill Cornell Medicine, & Research Division, Hospital for Special Surgery, New York, NY, USA.'], 'Yosi Shamay': ['Faculty of Biomedical Engineering, Technion Israel Institute of Technology, Haifa, Israel.'], 'G Praveen Raju': ['Department of Pediatrics, Memorial Sloan Kettering Cancer Center, New York, NY, USA. praveen.raju@mssm.edu.', 'Departments of Neurology and Pediatrics, Icahn School of Medicine at Mount Sinai, New York, NY, USA. praveen.raju@mssm.edu.', 'Department of Pediatrics, Weill Cornell Medicine, New York, NY, USA. praveen.raju@mssm.edu.'], 'Daniel A Heller': ['Molecular Pharmacology Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA. hellerd@mskcc.org.', 'Department of Pharmacology, Weill Cornell Graduate School of Medical Sciences, New York, NY, USA. hellerd@mskcc.org.']}"
1,Tumor-derived Cav-1 promotes pre-metastatic niche formation and lung metastasis in breast cancer,37056561,"Wang Y, Li Y, Zhong J, Li M, Zhou Y, Lin Q, Zong S, Luo W, Wang J, Wang K, Wang J, Xiong L",Theranostics. 2023 Mar 13;13(5):1684-1697. doi: 10.7150/thno.79250,Wang Y,Theranostics,"2023, 03/13/2023",PMC10086203,10.7150/thno.79250,"breast cancer, caveolin 1, exosome, lung metastasis, pre-metastatic niche",2,"{'Yi Wang': ['Department of Pathophysiology, Medical College, Nanchang University, 461 Bayi Road, Nanchang 330006, China.'], 'Yuqiu Li': ['Department of Pathophysiology, Medical College, Nanchang University, 461 Bayi Road, Nanchang 330006, China.', 'Queen Mary college, Nanchang University, Nanchang 330006, China.'], 'Junpei Zhong': ['Department of Pathophysiology, Medical College, Nanchang University, 461 Bayi Road, Nanchang 330006, China.'], 'Miao Li': ['Second Clinical Medical College, Nanchang University, Nanchang 330006, China.'], 'Youjia Zhou': ['Department of Pathophysiology, Medical College, Nanchang University, 461 Bayi Road, Nanchang 330006, China.'], 'Qing Lin': ['Department of Pathophysiology, Medical College, Nanchang University, 461 Bayi Road, Nanchang 330006, China.'], 'Siwen Zong': ['Second Clinical Medical College, Nanchang University, Nanchang 330006, China.'], 'Wenting Luo': ['Second Clinical Medical College, Nanchang University, Nanchang 330006, China.'], 'Jiayang Wang': ['First Clinical Medical College, Nanchang University, Nanchang 330006, China.'], 'Keqin Wang': ['First Clinical Medical College, Nanchang University, Nanchang 330006, China.'], 'Jie Wang': ['Key laboratory of functional and clinical translational medicine, Xiamen Medical College, Fujian province university, Xiamen 361023, China.'], 'Lixia Xiong': ['Department of Pathophysiology, Medical College, Nanchang University, 461 Bayi Road, Nanchang 330006, China.', 'Key laboratory of functional and clinical translational medicine, Xiamen Medical College, Fujian province university, Xiamen 361023, China.']}"
2,BST2 induced macrophage M2 polarization to promote the progression of colorectal cancer,36594082,"He X, Chen H, Zhong X, Wang Y, Hu Z, Huang H, Zhao S, Wei P, Shi D, Li D",Int J Biol Sci. 2023 Jan 1;19(1):331-345. doi: 10.7150/ijbs.72538,He X,Int J Biol Sci,"2023, 01/01/2023",PMC9760448,10.7150/ijbs.72538,"BST2, Biomarker, Colorectal cancer (CRC), M2 macrophages",2,"{'Xuefeng He': ['Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Huaijun Chen': ['Department of Neurosurgery, The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, China.'], 'Xinyang Zhong': ['Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Yaxian Wang': ['Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Zijuan Hu': ['Department of Pathology, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Cancer Institute, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Institute of Pathology, Fudan University, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Huixia Huang': ['Department of Pathology, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Cancer Institute, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Institute of Pathology, Fudan University, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Senlin Zhao': ['Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Ping Wei': ['Department of Pathology, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Cancer Institute, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Institute of Pathology, Fudan University, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Debing Shi': ['Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.'], 'Dawei Li': ['Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, Shanghai, China.', 'Department of Oncology, Shanghai Medical College Fudan University, Shanghai, China.']}"
3,Loss of Caveolin-1 Expression in Tumor Cells is Associated with Increased Aggressiveness and Cell Invasion in Oral Squamous Cell Carcinoma,37233885,"Nascimento RB, Paiva KBS, Risteli M, Silva LHS, Rodini CO, Rodrigues MFSD, De Cicco R, Lopez RVM, Salo TA, Nunes FD, Xavier FCA",Head Neck Pathol. 2023 Sep;17(3):618-630. doi: 10.1007/s12105-023-01562-w,Nascimento RB,Head Neck Pathol,2023,,10.1007/s12105-023-01562-w,"Caveolae, Caveolin-1, Epithelial-mesenchymal transition, Oral tongue squamous cell carcinoma, Silencing of the gene, Tumor aggressiveness",0,"{'Rebeca Barros Nascimento': ['Laboratório de Patologia Oral Cirúrgica, Faculdade de Odontologia, Universidade Federal da Bahia, Rua Araújo Pinho, 62, Canela, Salvador, Bahia, 40110-150, Brazil.'], 'Katiúcia Batista Silva Paiva': ['Laboratório de Biologia da Matriz Extracelular e Interação Celular, Departamento de Anatomia, Instituto de Ciências Biomédicas, Universidade de São Paulo, São Paulo, Brazil.'], 'Maija Risteli': ['Cancer and Translational Medicine Research Unit, Faculty of Medicine, University of Oulu, Oulu, Finland.', 'Medical Research Center Oulu, Oulu University Hospital, University of Oulu, Oulu, Finland.'], 'Luiz Henrique Santos Silva': ['Laboratório de Biologia da Matriz Extracelular e Interação Celular, Departamento de Anatomia, Instituto de Ciências Biomédicas, Universidade de São Paulo, São Paulo, Brazil.'], 'Camila Oliveira Rodini': ['Departamento de Ciências Biológicas, Faculdade de Odontologia de Bauru, Universidade de São Paulo, Bauru, Brazil.'], 'Maria Fernanda Setúbal Destro Rodrigues': ['Programa de Pós-Graduação em Biofotônica Aplicada a Ciências da Saúde, Universidade Nove de Julho, UNINOVE, São Paulo, Brazil.'], 'Rafael De Cicco': ['Departamento de Cirurgia de Cabeça e Pescoço, Instituto de Câncer Doutor Arnaldo Vieira de Carvalho, São Paulo, Brazil.'], 'Rossana Verónica Mendoza Lopez': ['Centro de Pesquisa Translacional em Oncologia, Instituto do Câncer do Estado de São Paulo, São Paulo, Brazil.'], 'Tuula Anneli Salo': ['Cancer and Translational Medicine Research Unit, Faculty of Medicine, University of Oulu, Oulu, Finland.', 'Medical Research Center Oulu, Oulu University Hospital, University of Oulu, Oulu, Finland.', 'Department of Oral and Maxillofacial Diseases, University of Helsinki, Helsinki, Finland.', 'Department of Pathology, HUSLAB, Helsinki University Central Hospital, University of Helsinki, Helsinki, Finland.'], 'Fábio Daumas Nunes': ['Laboratório de Patologia Molecular, Faculdade de Odontologia, Universidade de São Paulo, São Paulo, Brazil.'], 'Flávia Caló Aquino Xavier': ['Laboratório de Patologia Oral Cirúrgica, Faculdade de Odontologia, Universidade Federal da Bahia, Rua Araújo Pinho, 62, Canela, Salvador, Bahia, 40110-150, Brazil. fcalo@ufba.br.']}"
4,A narrative review of the role of exosomes and caveolin-1 in liver diseases and cancer,37196562,"Jiang X, Wu S, Hu C",Int Immunopharmacol. 2023 Jul;120:110284. doi: 10.1016/j.intimp.2023.110284,Jiang X,Int Immunopharmacol,2023,,10.1016/j.intimp.2023.110284,"Cancer, Caveolin-1, Exosome, Liver disease, Metastasis and invasion",0,"{'Xiangfu Jiang': ['Anhui Province Key Laboratory of Major Autoimmune Diseases, Anhui Institute of Innovative Drugs, School of Pharmacy, Anhui Medical University, Hefei 230032, China; Institute for Liver Diseases of Anhui Medical University, School of Pharmacy, Anhui medical university, Hefei 230032, China; Key Laboratory of anti-inflammatory and Immune Medicine, Ministry of Education, Hefei 230032, China.'], 'Shuai Wu': ['Anhui Province Key Laboratory of Major Autoimmune Diseases, Anhui Institute of Innovative Drugs, School of Pharmacy, Anhui Medical University, Hefei 230032, China; Institute for Liver Diseases of Anhui Medical University, School of Pharmacy, Anhui medical university, Hefei 230032, China; Key Laboratory of anti-inflammatory and Immune Medicine, Ministry of Education, Hefei 230032, China.'], 'Chengmu Hu': ['Anhui Province Key Laboratory of Major Autoimmune Diseases, Anhui Institute of Innovative Drugs, School of Pharmacy, Anhui Medical University, Hefei 230032, China; Institute for Liver Diseases of Anhui Medical University, School of Pharmacy, Anhui medical university, Hefei 230032, China; Key Laboratory of anti-inflammatory and Immune Medicine, Ministry of Education, Hefei 230032, China. Electronic address: huchengmu@ahmu.edu.cn.']}"
5,Caveolin-1-derived peptide attenuates cigarette smoke-induced airway and alveolar epithelial injury,37642665,"Das DN, Puthusseri B, Gopu V, Krishnan V, Bhagavath AK, Bolla S, Saini Y, Criner GJ, Marchetti N, Tang H, Konduru NV, Fan L, Shetty S",Am J Physiol Lung Cell Mol Physiol. 2023 Aug 29. doi: 10.1152/ajplung.00178.2022,Das DN,Am J Physiol Lung Cell Mol Physiol,"2023, 08/29/2023",,10.1152/ajplung.00178.2022,"caveolin-1 scaffolding domain peptide, chronic obstructive pulmonary disease, tobacco smoke exposure",0,"{'Durgesh Nandini Das': ['Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Bijesh Puthusseri': ['The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Venkadesaperumal Gopu': ['Cellular and Molecular biology, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Venugopal Krishnan': ['Texas Lung injury Institute, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Ashoka Kumar Bhagavath': ['Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Sudhir Bolla': ['Thoracic Medicine and Surgery, Temple University, Philadelphia, PA, United States.'], 'Yogesh Saini': ['Comparative Biomedical Sciences, Louisiana State University, Baton Rouge, LA, United States.'], 'Gerard J Criner': ['Temple University, Philadelphia, PA, United States.'], 'Nathaniel Marchetti': ['Thoracic Medicine and Surgery, Temple University, Philadelphia, PA, United States.'], 'Hua Tang': ['Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Nagarjun V Konduru': ['Department of Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Liang Fan': ['Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.'], 'Sreerama Shetty': ['Specialty Care Services, The University of Texas Health Science Center at Tyler, Tyler, TX, United States.']}"
6,Wnt signaling regulates MFSD2A-dependent drug delivery through endothelial transcytosis in glioma,36591963,"Xie Y, He L, Zhang Y, Huang H, Yang F, Chao M, Cao H, Wang J, Li Y, Zhang L, Xin L, Xiao B, Shi X, Zhang X, Tang J, Uhrbom L, Dimberg A, Wang L, Zhang L",Neuro Oncol. 2023 Jun 2;25(6):1073-1084. doi: 10.1093/neuonc/noac288,Xie Y,Neuro Oncol,"2023, 06/02/2023",PMC10237416,10.1093/neuonc/noac288,"Wnt signaling, blood-brain barrier, drug delivery, endothelial cell, glioblastoma",0,"{'Yuan Xie': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""], 'Liqun He': ['Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Rudbeck Laboratory, 75185, Uppsala, Sweden.'], 'Yanyu Zhang': [""Department of Neurosurgery, Xijing Hospital, Fourth Military Medical University, Xi'an, 710032, China.""], 'Hua Huang': ['Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Rudbeck Laboratory, 75185, Uppsala, Sweden.'], 'Fan Yang': ['Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Rudbeck Laboratory, 75185, Uppsala, Sweden.', 'Department of Neurosurgery, Tianjin Medical University General Hospital, Tianjin Neurological Institute, Key Laboratory of Post-Neuro-injury Neuro-Repair and Regeneration in Central Nervous System, Ministry of Education and Tianjin City, Tianjin 300052, China.'], 'Min Chao': [""Department of Neurosurgery, Tangdu Hospital of the Fourth Military Medical University, 569 Xinsi Road, Xi'an, 710038, China.""], 'Haiyan Cao': [""Department of Neurosurgery, Tangdu Hospital of the Fourth Military Medical University, 569 Xinsi Road, Xi'an, 710038, China.""], 'Jianhao Wang': ['Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Rudbeck Laboratory, 75185, Uppsala, Sweden.', 'Department of Neurosurgery, Tianjin Medical University General Hospital, Tianjin Neurological Institute, Key Laboratory of Post-Neuro-injury Neuro-Repair and Regeneration in Central Nervous System, Ministry of Education and Tianjin City, Tianjin 300052, China.'], 'Yaling Li': [""Department of Obstetrics and Gynaecology, Xi'an People's Hospital (Xi'an Fourth Hospital), Xi'an, 710005, China.""], 'Lingxue Zhang': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""], 'Lele Xin': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""], 'Bing Xiao': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""], 'Xinxin Shi': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""], 'Xue Zhang': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""], 'Jiefu Tang': ['Trauma Center, First Affiliated Hospital of Hunan University of Medicine, Huaihua, 418000, China.'], 'Lene Uhrbom': ['Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Rudbeck Laboratory, 75185, Uppsala, Sweden.'], 'Anna Dimberg': ['Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Rudbeck Laboratory, 75185, Uppsala, Sweden.'], 'Liang Wang': [""Department of Neurosurgery, Tangdu Hospital of the Fourth Military Medical University, 569 Xinsi Road, Xi'an, 710038, China.""], 'Lei Zhang': [""China-Sweden International Joint Research Center for Brain Diseases, Key Laboratory of Ministry of Education for Medicinal Plant Resource and Natural Pharmaceutical Chemistry, National Engineering Laboratory for Resource Developing of Endangered Chinese Crude Drugs in Northwest of China, College of Life Sciences, Shaanxi Normal University, Xi'an, 710119, China.""]}"
7,Caveolin-1-Related Intervention for Fibrotic Lung Diseases,36831221,"Shetty S, Idell S",Cells. 2023 Feb 9;12(4):554. doi: 10.3390/cells12040554,Shetty S,Cells,"2023, 02/09/2023",PMC9953971,10.3390/cells12040554,"AECs, CSP7, Caveolin-1, IPF, dry powder inhalational therapy, fLfs, interstitial lung diseases, p53, pulmonary fibrosis",0,"{'Sreerama Shetty': ['Texas Lung Injury Institute, Department of Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, 11937 US Highway 271, Tyler, TX 75708, USA.'], 'Steven Idell': ['Texas Lung Injury Institute, Department of Cellular and Molecular Biology, The University of Texas Health Science Center at Tyler, 11937 US Highway 271, Tyler, TX 75708, USA.']}"
8,"The intertwining roles of caveolin, oxytocin receptor, and the associated signalling pathways in prostate cancer progression",37217187,Gould ML,Reprod Fertil Dev. 2023 Jun;35(9):493-503. doi: 10.1071/RD22283,Gould ML,Reprod Fertil Dev,2023,,10.1071/RD22283,"Caveolae are invaginations in the plasma membrane of most cell types and are present in the cells of normal prostate tissue Caveolins are a family of highly conserved integral membrane proteins that oligomerise to form caveolae and interact with signalling molecules by providing a scaffold that sequesters signal transduction receptors in close proximity to each other Signal transduction G proteins and G-protein-coupled receptors (GPCR), including oxytocin receptor (OTR), are localised within caveolae Only one OTR has been identified, and yet, this single receptor both inhibits and stimulates cell proliferation As caveolae sequester lipid-modified signalling molecules, these differing effects may be due to a change in location The cavin1 necessary for caveolae formation is lost in prostate cancer progression With the loss of caveolae, the OTR moves out onto the cell membrane influencing the proliferation and survival of prostate cancer cells Caveolin-1 (cav-1) is reportedly overexpressed in prostate cancer cells and is associated with disease progression This review focuses on the position of OTRs within caveolae, and their movement out onto the cell membrane It explores whether movement of the OTR is related to changes in the activation of the associated cell signalling pathways that may increase cell proliferation and analyse whether caveolin and particularly cavin1 might be a target for future therapeutic stratagies",0,"{'M L Gould': ['Department of Anatomy, University of Otago, P.O. Box 913, Dunedin 9054, New Zealand.']}"
9,Caveolin-1 genotypes as predictor for locoregional recurrence and contralateral disease in breast cancer,37017811,"Godina C, Tryggvadottir H, Bosch A, Borgquist S, Belting M, Isaksson K, Jernström H",Breast Cancer Res Treat. 2023 Jun;199(2):335-347. doi: 10.1007/s10549-023-06919-x,Godina C,Breast Cancer Res Treat,2023,PMC10175335,10.1007/s10549-023-06919-x,"Caveolin-1, Contralateral breast cancer, Genotype, Locoregional breast cancer recurrence",0,"{'Christopher Godina': ['Division of Oncology, Department of Clinical Sciences in Lund, Lund University and Skåne University Hospital, Barngatan 4, 221 85, Lund, Sweden.'], 'Helga Tryggvadottir': ['Division of Oncology, Department of Clinical Sciences in Lund, Lund University and Skåne University Hospital, Barngatan 4, 221 85, Lund, Sweden.', 'Department of Hematology, Oncology and Radiation Physics, Skåne University Hospital, Lund and Malmö, Sweden.'], 'Ana Bosch': ['Division of Oncology, Department of Clinical Sciences in Lund, Lund University and Skåne University Hospital, Barngatan 4, 221 85, Lund, Sweden.', 'Department of Hematology, Oncology and Radiation Physics, Skåne University Hospital, Lund and Malmö, Sweden.'], 'Signe Borgquist': ['Division of Oncology, Department of Clinical Sciences in Lund, Lund University and Skåne University Hospital, Barngatan 4, 221 85, Lund, Sweden.', 'Department of Oncology, Aarhus University and Aarhus University Hospital, Aarhus, Denmark.'], 'Mattias Belting': ['Division of Oncology, Department of Clinical Sciences in Lund, Lund University and Skåne University Hospital, Barngatan 4, 221 85, Lund, Sweden.', 'Department of Hematology, Oncology and Radiation Physics, Skåne University Hospital, Lund and Malmö, Sweden.', 'Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Uppsala, Sweden.'], 'Karolin Isaksson': ['Division of Surgery, Department of Clinical Sciences in Lund, Lund University and Kristianstad Hospital, Lund and Kristianstad, Sweden.'], 'Helena Jernström': ['Division of Oncology, Department of Clinical Sciences in Lund, Lund University and Skåne University Hospital, Barngatan 4, 221 85, Lund, Sweden. helena.jernstrom@med.lu.se.']}"
